Year,Quarter,Month,Day,Field,Parameter,Average of Ideal,Sum of Current
2024,Qtr 4,October,24,BALBOA,pH (1:1),6.2,29.85
2024,Qtr 4,October,24,BALBOA,Soluble Salts,0.64,0.5
2024,Qtr 4,October,24,BRS-250,Active Carbon,1000,402.39
2024,Qtr 4,October,24,BRS-250,Ammonium,40,0.25
2024,Qtr 4,October,24,BRS-250,Bicarbonates,60,258.71999999999997
2024,Qtr 4,October,24,BRS-250,EC,0.7,0.28
2024,Qtr 4,October,24,BRS-250,Est N from OM in lb,120,79.6
2024,Qtr 4,October,24,BRS-250,Nitrate,30,37.36
2024,Qtr 4,October,24,BRS-250,Organic Matter,7,2.98
2024,Qtr 4,October,24,BRS-250,ORP,80,-1
2024,Qtr 4,October,24,BRS-250,pH (1:1),6.2,14.26
2024,Qtr 4,October,24,BRS-250,Soluble Salts,0.64,0.18000000000000002
2024,Qtr 4,October,24,BYRD,Active Carbon,1000,323.44
2024,Qtr 4,October,24,BYRD,Ammonium,40,1.4100000000000001
2024,Qtr 4,October,24,BYRD,Bicarbonates,60,230.93
2024,Qtr 4,October,24,BYRD,EC,0.7,0.37
2024,Qtr 4,October,24,BYRD,Est N from OM in lb,120,170
2024,Qtr 4,October,24,BYRD,Nitrate,30,27.12
2024,Qtr 4,October,24,BYRD,Organic Matter,7,7
2024,Qtr 4,October,24,BYRD,ORP,80,6
2024,Qtr 4,October,24,BYRD,pH (1:1),6.2,14.03
2024,Qtr 4,October,24,BYRD,Soluble Salts,0.64,0.23
2024,Qtr 4,October,24,C&H3,Active Carbon,1000,334.18
2024,Qtr 4,October,24,C&H3,Ammonium,40,0.02
2024,Qtr 4,October,24,C&H3,Bicarbonates,60,192.32
2024,Qtr 4,October,24,C&H3,EC,0.7,0.27
2024,Qtr 4,October,24,C&H3,Est N from OM in lb,120,162.60000000000002
2024,Qtr 4,October,24,C&H3,Nitrate,30,148.33
2024,Qtr 4,October,24,C&H3,Organic Matter,7,6.3
2024,Qtr 4,October,24,C&H3,ORP,80,9
2024,Qtr 4,October,24,C&H3,pH (1:1),6.2,14.129999999999999
2024,Qtr 4,October,24,C&H3,Soluble Salts,0.64,0.17
2024,Qtr 4,October,24,GB-40,Active Carbon,1000,150.55
2024,Qtr 4,October,24,GB-40,Ammonium,40,0
2024,Qtr 4,October,24,GB-40,Bicarbonates,60,90.02
2024,Qtr 4,October,24,GB-40,EC,0.7,0.44
2024,Qtr 4,October,24,GB-40,Est N from OM in lb,120,53.2
2024,Qtr 4,October,24,GB-40,Nitrate,30,19.66
2024,Qtr 4,October,24,GB-40,Organic Matter,7,1.66
2024,Qtr 4,October,24,GB-40,ORP,80,23
2024,Qtr 4,October,24,GB-40,pH (1:1),6.2,6.89
2024,Qtr 4,October,24,GB-40,Soluble Salts,0.64,0.28
2024,Qtr 4,October,24,GOODMAN,Active Carbon,1000,318.51
2024,Qtr 4,October,24,GOODMAN,Ammonium,40,0
2024,Qtr 4,October,24,GOODMAN,Bicarbonates,60,239.72
2024,Qtr 4,October,24,GOODMAN,EC,0.7,0.37
2024,Qtr 4,October,24,GOODMAN,Est N from OM in lb,120,177.8
2024,Qtr 4,October,24,GOODMAN,Nitrate,30,29.33
2024,Qtr 4,October,24,GOODMAN,Organic Matter,7,7.779999999999999
2024,Qtr 4,October,24,GOODMAN,ORP,80,-44
2024,Qtr 4,October,24,GOODMAN,pH (1:1),6.2,15.129999999999999
2024,Qtr 4,October,24,GOODMAN,Soluble Salts,0.64,0.24
2024,Qtr 4,October,24,JK,Active Carbon,1000,399.46999999999997
2024,Qtr 4,October,24,JK,Ammonium,40,2.12
2024,Qtr 4,October,24,JK,Bicarbonates,60,373.08
2024,Qtr 4,October,24,JK,EC,0.6999999999999998,0.25
2024,Qtr 4,October,24,JK,Est N from OM in lb,120,184.39999999999998
2024,Qtr 4,October,24,JK,Nitrate,30,36.99
2024,Qtr 4,October,24,JK,Organic Matter,7,6.22
2024,Qtr 4,October,24,JK,ORP,80,16
2024,Qtr 4,October,24,JK,pH (1:1),6.2,20.75
2024,Qtr 4,October,24,JK,Soluble Salts,0.64,0.16
2024,Qtr 4,October,24,MAZZ-HOME,Active Carbon,1000,262.5
2024,Qtr 4,October,24,MAZZ-HOME,Ammonium,40,0
2024,Qtr 4,October,24,MAZZ-HOME,Bicarbonates,60,170.74
2024,Qtr 4,October,24,MAZZ-HOME,EC,0.7,0.29000000000000004
2024,Qtr 4,October,24,MAZZ-HOME,Est N from OM in lb,120,141.2
2024,Qtr 4,October,24,MAZZ-HOME,Nitrate,30,42.15
2024,Qtr 4,October,24,MAZZ-HOME,Organic Matter,7,5.0600000000000005
2024,Qtr 4,October,24,MAZZ-HOME,ORP,80,-1
2024,Qtr 4,October,24,MAZZ-HOME,pH (1:1),6.2,14.46
2024,Qtr 4,October,24,MAZZ-HOME,Soluble Salts,0.64,0.18000000000000002
2024,Qtr 4,October,24,REYES,Active Carbon,1000,234.92000000000002
2024,Qtr 4,October,24,REYES,Ammonium,40,0.05
2024,Qtr 4,October,24,REYES,Bicarbonates,60,400
2024,Qtr 4,October,24,REYES,EC,0.7,0.22999999999999998
2024,Qtr 4,October,24,REYES,Est N from OM in lb,120,123.60000000000001
2024,Qtr 4,October,24,REYES,Nitrate,30,19.19
2024,Qtr 4,October,24,REYES,Organic Matter,7,4.18
2024,Qtr 4,October,24,REYES,ORP,80,-65
2024,Qtr 4,October,24,REYES,pH (1:1),6.2,15.379999999999999
2024,Qtr 4,October,24,REYES,Soluble Salts,0.64,0.14
2024,Qtr 4,October,24,TOP,Active Carbon,1000,249.87
2024,Qtr 4,October,24,TOP,Ammonium,40,0.2
2024,Qtr 4,October,24,TOP,Bicarbonates,60,211.52
2024,Qtr 4,October,24,TOP,EC,0.7,0.30000000000000004
2024,Qtr 4,October,24,TOP,Est N from OM in lb,120,183.4
2024,Qtr 4,October,24,TOP,Nitrate,30,414.87
2024,Qtr 4,October,24,TOP,Organic Matter,7,8.34
2024,Qtr 4,October,24,TOP,ORP,80,-43
2024,Qtr 4,October,24,TOP,pH (1:1),6.2,14.809999999999999
2024,Qtr 4,October,24,TOP,Soluble Salts,0.64,0.19
2024,Qtr 4,October,24,WFP,Active Carbon,1000,315.93
2024,Qtr 4,October,24,WFP,Ammonium,40,0.97
2024,Qtr 4,October,24,WFP,Bicarbonates,60,230.47000000000003
2024,Qtr 4,October,24,WFP,EC,0.7,0.09000000000000001
2024,Qtr 4,October,24,WFP,Est N from OM in lb,120,131.2
2024,Qtr 4,October,24,WFP,Nitrate,30,55.19
2024,Qtr 4,October,24,WFP,Organic Matter,7,4.56
2024,Qtr 4,October,24,WFP,ORP,80,31
2024,Qtr 4,October,24,WFP,pH (1:1),6.2,13.379999999999999
2024,Qtr 4,October,24,WFP,Soluble Salts,0.64,0.05
